,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Raudeberg,75,NO,1584476324,80,61.99,5.14,42.8,18.34
1,London,92,GB,1584476174,76,51.51,-0.13,52.0,8.05
2,Cape Town,12,ZA,1584476324,88,-33.93,18.42,68.0,11.41
3,Alanya,40,TR,1584476324,34,36.54,32.0,50.0,23.04
4,Mount Gambier,100,AU,1584476137,33,-37.83,140.77,71.6,14.99
5,Porosozero,99,RU,1584476324,92,62.72,32.73,32.09,14.7
6,Kununurra,40,AU,1584476325,83,-15.77,128.73,77.0,1.12
7,Hobart,75,AU,1584475987,49,-42.88,147.33,68.0,10.29
8,Punta Arenas,75,CL,1584476059,50,-53.15,-70.92,57.2,29.97
9,Rikitea,6,PF,1584476061,79,-23.12,-134.97,80.51,14.43
10,Qaanaaq,96,GL,1584476062,60,77.48,-69.36,-19.39,5.75
11,Meulaboh,100,ID,1584476151,84,4.14,96.13,79.07,9.71
12,Tura,0,IN,1584476032,43,25.52,90.22,66.29,1.97
13,Erenhot,100,CN,1584476131,32,43.65,111.98,39.29,9.95
14,Thompson,5,CA,1584476111,54,55.74,-97.86,-0.4,6.93
15,Bellmead,90,US,1584476326,65,31.59,-97.11,78.01,12.75
16,Klaksvík,0,FO,1584476143,64,62.23,-6.59,37.4,14.99
17,Plácido de Castro,100,BR,1584476326,95,-10.34,-67.19,80.87,3.56
18,Birao,20,CF,1584476125,15,10.28,22.79,84.47,8.66
19,Caniço,40,PT,1584476123,67,32.63,-16.85,59.0,17.22
20,Tsimmerbude,94,RU,1584476327,80,54.67,20.13,41.0,6.71
21,Puerto Ayora,20,EC,1584476327,66,-0.74,-90.35,84.2,13.87
22,Mahébourg,20,MU,1584476129,94,-20.41,57.7,75.2,2.24
23,Port Elizabeth,0,ZA,1584476104,82,-33.92,25.57,66.2,9.17
24,Ushuaia,75,AR,1584475870,47,-54.8,-68.3,57.2,4.7
25,Busselton,68,AU,1584476124,97,-33.65,115.33,52.0,17.16
26,Lebu,0,CL,1584476111,58,-37.62,-73.65,66.11,9.48
27,Sawtell,22,AU,1584476328,93,-30.38,153.1,60.8,8.05
28,Dikson,100,RU,1584476113,100,73.51,80.55,-3.19,6.64
29,New Norfolk,75,AU,1584476328,49,-42.78,147.06,68.0,10.29
30,‘Āhuimanu,90,US,1584476328,74,21.44,-157.84,78.8,4.7
31,Mar del Plata,100,AR,1584476327,77,-38.0,-57.56,75.0,6.93
32,Sisophon,56,KH,1584476329,77,13.59,102.97,80.33,10.29
33,Padang,14,ID,1584476329,91,-0.95,100.35,68.45,5.12
34,Ahipara,0,NZ,1584476123,53,-35.17,173.17,60.53,6.82
35,Río Gallegos,45,AR,1584476329,42,-51.62,-69.22,69.8,11.41
36,Bluff,6,NZ,1584476060,96,-46.6,168.33,41.0,1.99
37,Hilo,90,US,1584476134,83,19.73,-155.09,75.2,13.87
38,East London,100,ZA,1584476329,82,-33.02,27.91,70.61,13.85
39,Kapaa,90,US,1584476040,94,22.08,-159.32,69.8,10.29
40,Hermanus,3,ZA,1584476109,90,-34.42,19.23,64.99,4.32
41,Namtsy,40,RU,1584476142,85,62.72,129.67,12.2,4.47
42,Zhigansk,0,RU,1584476330,91,66.77,123.37,-29.47,12.57
43,Ribeira Grande,20,PT,1584476330,82,38.52,-28.7,64.4,11.41
44,Butaritari,1,KI,1584476113,76,3.07,172.79,82.85,14.23
45,Mossamedes,100,AO,1584476023,80,-15.2,12.15,73.85,6.93
46,Hasaki,75,JP,1584476109,86,35.73,140.83,39.2,1.12
47,Bethel,90,US,1584476116,75,41.37,-73.41,53.01,6.93
48,Grindavik,75,IS,1584476193,86,63.84,-22.43,32.0,24.16
49,Kondinskoye,99,RU,1584476331,85,59.65,67.41,25.97,15.99
50,Simdega,0,IN,1584476331,43,22.62,84.52,69.89,2.75
51,Barbastro,2,ES,1584476331,93,42.04,0.13,55.99,1.12
52,Kamaishi,0,JP,1584476332,79,39.27,141.88,38.03,3.58
53,Husavik,90,IS,1584476155,95,66.04,-17.34,32.0,28.86
54,Port Alfred,47,ZA,1584476075,97,-33.59,26.89,66.99,5.99
55,Tuatapere,34,NZ,1584476182,96,-46.13,167.68,41.0,1.99
56,Beloha,35,MG,1584475990,84,-25.17,45.05,70.61,6.87
57,Taltal,0,CL,1584476134,72,-25.4,-70.48,65.75,7.23
58,Fairbanks,1,US,1584476201,73,64.84,-147.72,34.0,6.93
59,Souillac,20,MU,1584476120,94,-20.52,57.52,75.2,2.24
60,Olafsvik,100,IS,1584476136,75,64.89,-23.71,28.85,41.61
61,Port Hardy,20,CA,1584476103,75,50.7,-127.42,44.6,11.41
62,Belmonte,20,BR,1584476162,74,-15.86,-38.88,86.0,4.7
63,Kangaatsiaq,100,GL,1584476333,66,68.31,-53.46,11.03,23.31
64,Khatanga,78,RU,1584476135,84,71.97,102.5,-16.33,8.99
65,Mariehamn,74,AX,1584476106,75,60.1,19.93,42.8,9.17
66,Luga,95,RU,1584476334,78,58.74,29.85,35.87,10.13
67,Tiznit Province,100,MA,1584476184,83,29.58,-9.5,47.75,12.91
68,Terrace Bay,75,CA,1584476334,49,48.78,-87.1,24.8,11.41
69,Kaitangata,4,NZ,1584476106,81,-46.28,169.85,45.77,9.4
70,Inírida,80,CO,1584476334,42,3.87,-67.92,94.55,3.27
71,Pāsighāt,11,IN,1584476334,54,28.07,95.33,65.21,3.2
72,Alice Springs,0,AU,1584476335,56,-23.7,133.88,68.0,3.36
73,Tuktoyaktuk,90,CA,1584476126,84,69.45,-133.04,-0.4,9.17
74,San Juan,7,AR,1584476315,26,-31.54,-68.54,85.37,19.64
75,Nikolskoye,75,RU,1584476110,74,59.7,30.79,37.4,8.95
76,Bacolod City,0,PH,1584476335,82,10.67,122.95,72.95,5.95
77,Cabo San Lucas,75,MX,1584476111,50,22.89,-109.91,82.4,11.41
78,Arona,75,ES,1584476335,93,28.1,-16.68,64.99,20.8
79,Saskylakh,7,RU,1584476071,80,71.92,114.08,-23.89,7.49
80,Dhing,0,IN,1584476336,29,26.47,92.47,69.35,2.77
81,George Town,20,MY,1584476129,88,5.41,100.34,80.6,3.94
82,Port Blair,100,IN,1584476336,74,11.67,92.75,82.31,10.56
83,Praia da Vitória,20,PT,1584476336,72,38.73,-27.07,64.4,13.33
84,Norman Wells,90,CA,1584476124,85,65.28,-126.83,21.2,4.29
85,Lagoa,0,PT,1584476155,79,39.05,-27.98,62.69,15.97
86,Stonewall,90,CA,1584476108,62,50.13,-97.33,24.01,3.36
87,Vaini,75,TO,1584476070,94,-21.2,-175.2,78.8,13.87
88,Bredasdorp,33,ZA,1584475926,72,-34.53,20.04,68.0,9.17
89,Avarua,100,CK,1584476124,88,-21.21,-159.78,80.6,17.22
90,Jamestown,90,US,1584475843,70,42.1,-79.24,42.8,14.99
91,Richards Bay,100,ZA,1584476337,69,-28.78,32.04,72.77,19.13
92,Brae,12,GB,1584476138,61,60.4,-1.35,41.0,27.51
93,Vila Franca do Campo,20,PT,1584476337,72,37.72,-25.43,60.8,6.93
94,Province of Trapani,75,IT,1584476221,77,37.83,12.67,59.0,2.24
95,Itarema,100,BR,1584476123,86,-2.92,-39.92,77.81,5.37
96,Mataura,3,NZ,1584476111,96,-46.19,168.86,41.0,1.99
97,Bollnäs,0,SE,1584476185,83,61.35,16.39,42.01,5.01
98,Hong Kong,40,HK,1584476079,73,22.29,114.16,71.01,8.05
99,Bambous Virieux,20,MU,1584476074,94,-20.34,57.76,75.2,2.24
100,Barrow,1,US,1584476112,85,71.29,-156.79,12.2,11.41
101,Tocopilla,100,CL,1584476089,57,-22.09,-70.2,69.71,9.46
102,Teguise,75,ES,1584476339,52,29.06,-13.56,64.4,18.34
103,Yellowknife,75,CA,1584476108,58,62.46,-114.35,-4.0,5.82
104,Pocatello,75,US,1584476339,50,42.87,-112.45,53.6,14.99
105,Havelock,90,US,1584476339,87,34.88,-76.9,57.99,6.93
106,Grenå,97,DK,1584476339,87,56.42,10.88,46.4,4.7
107,Severo-Kuril'sk,100,RU,1584476117,91,50.68,156.12,17.15,11.23
108,Polyarny,75,RU,1584476340,79,69.2,33.45,28.4,6.71
109,Ilhéus,20,BR,1584476194,74,-14.79,-39.05,86.0,9.17
110,Skjervøy,90,NO,1584476340,92,70.03,20.97,28.4,4.7
111,Saldanha,0,ZA,1584476178,82,-33.01,17.94,62.6,8.05
112,Tahe,100,CN,1584476340,97,52.33,124.73,22.19,1.14
113,Tateyama,0,JP,1584476341,65,34.98,139.87,45.0,6.93
114,Lata,20,PT,1584476157,82,40.16,-8.33,61.0,5.82
115,Kahului,1,US,1584476047,69,20.89,-156.47,80.01,22.7
116,Upernavik,15,GL,1584476063,50,72.79,-56.15,-12.01,6.2
117,Talnakh,40,RU,1584476173,84,69.49,88.4,8.6,26.84
118,Faya,0,SA,1584476172,87,18.39,42.45,62.6,8.05
119,Saint George,75,US,1584476174,50,37.1,-113.58,60.8,13.87
120,Provideniya,100,RU,1584476112,96,64.38,-173.3,25.79,6.67
121,Arraial do Cabo,75,BR,1584476090,83,-22.97,-42.03,78.8,4.7
122,Hithadhoo,92,MV,1584476132,75,-0.6,73.08,84.65,12.41
123,Charter Township of Clinton,40,US,1584476103,43,42.59,-82.92,51.8,5.82
124,Bengkulu,88,ID,1584475987,93,-3.8,102.27,73.49,3.98
125,Bilma,0,NE,1584476342,8,18.69,12.92,75.83,7.61
126,Ikom,85,NG,1584476342,68,5.97,8.71,84.11,7.07
127,Leningradskiy,100,RU,1584476149,77,69.38,178.42,25.79,7.83
128,Natal,20,BR,1584476168,66,-5.79,-35.21,86.0,12.75
129,Comodoro Rivadavia,20,AR,1584476343,63,-45.87,-67.5,66.2,18.34
130,Chui,100,UY,1584476115,70,-33.7,-53.46,71.87,13.33
131,Carutapera,1,BR,1584476165,80,-1.2,-46.02,82.13,11.86
132,Dāmghān,100,IR,1584476343,70,36.17,54.35,53.51,5.1
133,Geraldton,90,AU,1584476124,60,-28.77,114.6,69.8,10.29
134,Albany,90,US,1584476114,66,42.6,-73.97,51.01,5.88
135,Saint-Pierre,90,RE,1584476167,94,-21.34,55.48,75.2,5.82
136,Arrondissement de Saint-Claude,0,FR,1584476344,76,46.5,5.83,55.4,2.24
137,Lüderitz,0,NA,1584476179,82,-26.65,15.16,64.4,16.11
138,Douentza,58,ML,1584476344,23,15.0,-2.95,85.01,4.54
139,Baiyin,40,CN,1584476344,33,36.56,104.21,43.0,4.47
140,Kloulklubed,75,PW,1584476344,83,7.04,134.26,75.2,3.36
141,Cairns,75,AU,1584476276,78,-16.92,145.77,77.0,10.29
142,Arlit,15,NE,1584476100,7,18.74,7.39,82.31,12.17
143,Goderich,59,CA,1584476177,68,43.75,-81.72,45.0,21.0
144,Airai,0,TL,1584476123,82,-8.93,125.41,63.77,4.32
145,Phuthaditjhaba,100,ZA,1584476345,87,-28.52,28.82,54.77,4.81
146,Ancud,40,CL,1584476112,63,-41.87,-73.82,62.6,5.82
147,Deputatsky,62,RU,1584476345,88,69.3,139.9,-18.85,7.27
148,Saint-Philippe,90,RE,1584476122,94,-21.36,55.77,75.2,5.82
149,Clarksburg,90,US,1584476346,76,39.28,-80.34,50.0,11.41
150,Altay,0,CN,1584476346,36,47.87,88.12,28.67,6.11
151,São Filipe,67,CV,1584476086,80,14.9,-24.5,67.01,23.35
152,Caravelas,0,BR,1584476183,79,-17.71,-39.25,81.23,12.15
153,Conceição do Araguaia,15,BR,1584476346,66,-8.26,-49.26,89.6,5.82
154,Weligama,100,LK,1584476121,86,5.97,80.42,75.83,11.21
155,Sioux Lookout,75,CA,1584476146,41,50.1,-91.92,23.0,11.41
156,Lima,100,PE,1584476177,58,-12.04,-77.03,82.4,11.41
157,Rossland,98,CA,1584476347,43,49.08,-117.8,46.0,1.01
158,Rawson,0,AR,1584476347,66,-43.3,-65.1,61.07,11.63
159,Stabat,41,ID,1584476348,79,3.76,98.45,77.45,3.22
160,Saint Andrews,40,US,1584476163,68,34.05,-81.13,72.0,9.17
161,Jucuarán,20,SV,1584476348,49,13.25,-88.25,93.2,10.29
162,Saint Anthony,1,US,1584476348,28,45.02,-93.22,45.0,5.82
163,Redmond,1,US,1584476114,46,47.67,-122.12,53.01,3.36
164,Castro,0,BR,1584475919,80,-24.79,-50.01,72.05,5.39
165,Manacapuru,75,BR,1584476348,70,-3.3,-60.62,86.0,5.82
166,Tepotzotlán,20,MX,1584476349,25,19.71,-99.22,75.2,13.87
167,Yumen,66,CN,1584476146,26,40.28,97.2,36.05,11.83
168,Samarai,61,PG,1584476109,84,-10.62,150.67,76.73,4.72
169,Quito,75,EC,1584476096,56,-0.23,-78.52,71.6,12.75
170,Banepā,20,NP,1584476349,93,27.63,85.52,51.8,3.36
171,Nouadhibou,88,MR,1584475984,64,20.93,-17.03,68.0,23.04
172,Panguna,0,PG,1584476349,89,-6.32,155.48,73.67,0.6
173,Ponta do Sol,40,PT,1584476350,67,32.67,-17.1,59.0,17.22
174,Katsuura,0,JP,1584476143,57,35.13,140.3,45.0,6.93
175,Kruisfontein,0,ZA,1584476112,64,-34.0,24.73,66.29,6.15
176,Hambantota,100,LK,1584476113,81,6.12,81.12,79.07,12.66
177,Kiama,0,AU,1584476204,93,-34.68,150.87,57.2,8.05
178,Smithers,75,CA,1584475966,99,54.78,-127.17,32.0,3.36
179,Laurens,75,US,1584476350,73,32.45,-82.92,80.6,3.36
180,Chokurdakh,100,RU,1584476072,97,70.63,147.92,-4.45,9.51
181,Coquimbo,20,CL,1584476072,68,-29.95,-71.34,66.2,12.75
182,San Patricio,40,MX,1584476351,74,19.22,-104.7,87.8,11.41
183,Tiksi,99,RU,1584476140,89,71.69,128.87,-28.93,8.19
184,Siocon,91,PH,1584476351,68,7.71,122.14,78.71,3.06
185,Esperance,90,AU,1584476116,93,-33.87,121.9,60.8,9.17
186,Iqaluit,90,CA,1584476135,78,63.75,-68.51,15.8,16.11
187,Buraidah,75,SA,1584476352,69,26.33,43.98,75.2,12.75
188,Kumul,33,CN,1584476352,25,42.8,93.45,41.99,1.68
189,Victor Harbor,100,AU,1584476352,25,-35.57,138.62,79.0,10.29
190,Saint-Augustin,100,CA,1584476179,80,51.23,-58.65,27.41,23.87
191,Carnarvon,100,AU,1584476110,78,-24.87,113.63,71.6,12.75
192,Sohag,0,EG,1584476345,54,26.56,31.69,57.2,11.41
193,Verkhnevilyuysk,100,RU,1584476180,93,63.45,120.32,-7.87,5.35
194,Narsaq,20,GL,1584475935,43,60.92,-46.05,15.8,4.07
195,El Dorado,75,US,1584476353,64,33.21,-92.67,71.6,4.7
196,Marzuq,52,YE,1584476353,83,14.4,46.47,65.75,3.24
197,Huarmey,42,PE,1584476077,48,-10.07,-78.15,82.31,8.43
198,Labuhan,100,ID,1584476143,94,-6.88,112.21,74.93,2.24
199,Boa Vista,40,BR,1584476353,34,2.82,-60.67,96.8,10.29
200,Ulaangom,100,MN,1584476137,95,49.98,92.07,10.85,3.15
201,Homer,90,US,1584476124,80,59.64,-151.55,36.0,6.93
202,Salinas,40,US,1584476354,62,36.68,-121.66,57.0,10.29
203,Syracuse,25,IT,1584476354,71,37.09,15.28,53.6,1.12
204,Naze,95,JP,1584476146,59,28.37,129.48,64.4,6.93
205,Opuwo,90,NA,1584476354,63,-18.06,13.84,72.05,8.55
206,Abū Zabad,64,SD,1584476354,13,12.35,29.25,75.83,15.46
207,Singaraja,24,ID,1584476355,74,-8.11,115.09,83.03,6.85
208,Torbay,20,CA,1584476127,63,47.67,-52.73,30.0,20.8
209,Tailai,100,CN,1584476355,61,46.38,123.4,34.79,5.77
210,Vardø,75,NO,1584476128,79,70.37,31.11,24.8,9.17
211,Yatou,0,CN,1584476355,69,37.15,122.38,45.95,10.56
212,Pisco,40,PE,1584476151,30,-13.7,-76.22,71.6,9.17
213,Keshabpur,0,BD,1584476355,60,22.92,89.21,72.41,1.39
214,Datong,3,CN,1584476356,23,40.09,113.29,43.43,13.89
215,Elban,100,RU,1584476356,96,50.1,136.51,23.09,7.4
216,Alyangula,11,AU,1584476356,100,-13.85,136.42,73.4,3.87
217,Ķegums,90,LV,1584476356,70,56.75,24.72,42.8,8.05
218,Mumford,100,GH,1584476356,81,5.26,-0.76,81.41,6.2
219,Pahrump,90,US,1584476356,34,36.21,-115.98,59.0,14.99
220,Kalmunai,100,LK,1584476356,80,7.42,81.82,80.33,6.38
221,Aksarka,33,RU,1584476357,83,66.56,67.8,12.47,11.07
222,Andenes,75,NO,1584476357,71,69.31,16.12,35.6,26.4
223,Bubaque,27,GW,1584476172,70,11.28,-15.83,79.97,21.83
224,Kieta,0,PG,1584476154,79,-6.22,155.63,80.33,4.05
225,Vila Velha,40,BR,1584476161,78,-20.33,-40.29,84.0,10.29
226,Vostok,57,RU,1584476147,91,46.49,135.88,12.29,5.41
227,Ipixuna,75,BR,1584476357,88,-1.76,-48.8,78.8,14.99
228,Harar,89,ET,1584476358,64,9.31,42.13,68.09,5.46
229,Pevek,100,RU,1584476122,91,69.7,170.31,23.27,14.52
230,Gamba,100,GA,1584476358,89,-2.65,10.0,76.73,2.91
231,Atuona,2,PF,1584476119,74,-9.8,-139.03,82.49,9.64
232,Morón,90,AR,1584476185,94,-34.65,-58.62,71.6,18.34
233,Blankenberge,75,BE,1584476358,70,51.31,3.13,50.0,8.05
234,Aranos,0,NA,1584476358,62,-24.13,19.12,72.23,14.34
235,Steinkjer,75,NO,1584476358,86,64.19,11.39,39.0,17.22
236,Mendi,100,PG,1584476359,97,-6.18,143.65,52.07,2.62
237,Lompoc,40,US,1584476122,62,34.64,-120.46,57.0,8.05
238,Abancay,40,PE,1584476125,100,-13.63,-72.88,37.4,10.29
239,Chumikan,100,RU,1584476098,88,54.72,135.31,20.75,5.59
240,Hofn,100,IS,1584476090,92,64.25,-15.21,38.39,11.79
241,Inhambane,0,MZ,1584476173,73,-23.86,35.38,73.4,6.93
242,Preobrazheniye,0,RU,1584476360,73,42.9,133.91,27.59,5.19
243,Yaan,90,NG,1584476360,13,7.38,8.57,88.79,4.29
244,Puerto El Triunfo,20,SV,1584476360,49,13.28,-88.55,93.2,10.29
245,Rocha,100,UY,1584475886,58,-34.48,-54.33,70.97,11.27
246,Venado Tuerto,100,AR,1584476360,99,-33.75,-61.97,62.01,24.4
247,Tasiilaq,20,GL,1584476083,78,65.61,-37.64,14.0,3.36
248,Jiuquan,0,CN,1584476148,31,39.74,98.52,31.73,0.74
249,Sayyan,75,YE,1584476361,64,15.17,44.32,61.25,4.32
250,Adrar,100,MR,1584476159,24,20.5,-10.07,72.41,10.38
251,Parry Sound,3,CA,1584476361,78,45.35,-80.03,37.99,8.99
252,Havøysund,100,NO,1584476361,79,71.0,24.66,24.8,4.7
253,Makakilo City,90,US,1584476361,94,21.35,-158.09,78.8,29.97
254,Ust-Nera,62,RU,1584476168,100,64.57,143.2,-24.79,1.61
255,Chardara,88,KZ,1584476362,51,41.25,67.97,62.15,6.6
256,Barranco,2,PA,1584476362,70,9.52,-82.7,84.2,8.05
257,Hualmay,99,PE,1584476362,60,-11.1,-77.61,77.09,7.54
258,Greenfield,20,US,1584476079,26,42.96,-88.01,46.99,3.36
259,Diego de Almagro,0,CL,1584476362,24,-26.37,-70.05,78.17,12.08
260,Boende,75,CD,1584476258,97,-0.22,20.87,72.59,3.36
261,Nome,90,US,1584476039,92,64.5,-165.41,27.0,16.11
262,Menongue,100,AO,1584476363,96,-14.66,17.69,63.95,2.91
263,Ilulissat,75,GL,1584476141,49,69.22,-51.1,3.2,21.92
264,Warwick,90,US,1584476363,93,41.7,-71.42,46.99,4.7
265,Ahmadpur East,0,PK,1584476363,29,29.14,71.26,72.95,5.21
266,Soavinandriana,50,MG,1584476364,93,-19.17,46.73,66.29,2.73
267,Krasne,84,UA,1584476364,80,49.91,24.61,39.2,2.24
268,Bathurst,0,AU,1584476364,87,-33.42,149.58,48.0,1.01
269,Mount Isa,0,AU,1584476364,56,-20.73,139.5,71.6,3.36
270,Laguna,75,US,1584475844,58,38.42,-121.42,55.4,10.29
271,Tanete,11,ID,1584476364,96,-3.94,119.78,73.49,1.1
272,Kenora,100,CA,1584476364,58,49.82,-94.43,24.8,6.93
273,Port-Gentil,40,GA,1584476178,89,-0.72,8.78,84.2,9.17
274,Bandarbeyla,47,SO,1584476365,72,9.49,50.81,79.61,12.95
